Country,State,Year,Gender,DiseaseType,Cases,Deaths
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Syphilis,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Neonatal,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Tetanus Other than Neonatal,46932.072911859716,10.537840332256575
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Viral Hepatitis(All Causes),2151.0,23.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Viral Meningitis,1377.0,55.0
India,Assam,"Calendar Year (Jan - Dec), 2020",Male,Whooping Cough,2574.0,33.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Acute Diarrhoeal Diseases,21758.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Acute Respiratory Infection,74777.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Chicken Pox,61.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Cholera,46932.072911859716,10.537840332256575
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Diphtheria,1.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Encephalitis,32.0,5.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Enteric Fever(Typhoid),12129.0,14.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Gonococcal Infection,12.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Measles,4.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Meningococcal Meningitis,4.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Pneumonia(All Causes),1000.0,7.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Rabies,46932.072911859716,10.537840332256575
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Syphilis,61.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Neonatal,1.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Tetanus Other than Neonatal,11.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Viral Hepatitis(All Causes),8575.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Viral Meningitis,34.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Female,Whooping Cough,10.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Acute Diarrhoeal Diseases,25675.0,0.0
India,Bihar,"Calendar Year (Jan - Dec), 2020",Male,Acute Respiratory Infection,83091.0,0.0
